Cleaned_Comment,Predicted_Sentiment
pm content ka bhoka,POSITIVE
why is shivam dubey being ignored so much,NEGATIVE
thanks for you very very nice emotional video,POSITIVE
modi aapke jaisa koi nhi dil se love you,POSITIVE
kya aadmi hai yrrr ye modi jitna bhi dil se utarne ki kosis kro utna hee chadhta jaata hai,NEGATIVE
modi ji aap hmare ideal hero hai aapko dekh kar hmesha proud feel hota hai aap desh ke sabhi logo se shaleenta se milte hai aur sabka manobal badhate hai fir chahe hmare desh ke scientist ho ya fir player ya fir student ho sabse ek friend ki tarah milte hai thats unique ye kewal aap hi kar sakte hai you are the greatest leader of india till now thats i can say confidently thank you so much sir for making prime minister of india,POSITIVE
why jaddu is missing,NEGATIVE
age is time pappu hota to use baat kya karni vo bhi pata na hoti i love pm,NEGATIVE
modi ji hathras mai kitne log mar gye unki family se jaake bhi mil lo,NEGATIVE
pm mets at evening because they are pm not am btw great to see modi ji with sports team,NEGATIVE
best of luck team india players,POSITIVE
who agree india will not tour to pakistan for champions trophy,POSITIVE
sare legends ek sath,POSITIVE
thanks sir hmari team ko aisa honour aap hi de skte hai,POSITIVE
dil jeet liya modi ji ne,POSITIVE
modi ji aaital ka recharge sasta kar vavo plis,NEGATIVE
you are a very good anchor pm the questions to each players were to the point,POSITIVE
pm modi best leader off the world,POSITIVE
bilkul last me chanchal chahal ko de dekh kar kis kis ko hasi aayi,NEGATIVE
seems like jab bhi koi answer karta hai uske saath saath teammates bhi uske lie nervous ho jate hai ki achhe se answer kar lee,NEGATIVE
thank you modi sir aapne itni respect di team india ko,POSITIVE
fully scripted hai,NEGATIVE
super actituded modi ji,POSITIVE
angad,POSITIVE
great indian team amp the leader,POSITIVE
pm nhi,NEGATIVE
dhan dhan satguru tera hi aasra thanks guru papa ji,POSITIVE
this video is funny,POSITIVE
sir you are very good pm of india but why you decreased the government job government job is the single hope for poor people to give accelerate their life higher education karne ki hamare aukat nhi please increase the government job in railway engineering etc,NEGATIVE
you are a true leader modi ji,POSITIVE
dravid pahli bar hindi me bole,NEGATIVE
amazing interview proud of our team india and modi ji,POSITIVE
bycot jio,NEGATIVE
aise p m kaha milye gya,POSITIVE
modi is great leader,POSITIVE
rohit bhai ka ye vo ho gya,POSITIVE
modi ji is legend,POSITIVE
modi a great leader,POSITIVE
last seen is so emotional,POSITIVE
pm is just like my championship with all players,POSITIVE
everything is temporary but rohit sharma wo ye is permanent,POSITIVE
modi ji evm hack karte huye,NEGATIVE
if someone will say that it is politics tricks and game then i love this kind of politics,POSITIVE
team india amp narendra modi,POSITIVE
we should never hate our prime minister show disagreement but not hate namaste modi ji,POSITIVE
rahul crying at the corner,NEGATIVE
oh pm our pm,POSITIVE
kaisa hamare modi ji sab players ki choti bdi baaton ko yaad rkhe hai ye dekhr accha lga namo,NEGATIVE
har game ko respect do please sirf cricket ko nhi others games bhi unko badane ki jarurat h,POSITIVE
champion modi,POSITIVE
wow what a great conversation,POSITIVE
hum apko dekke inspire hai modi sir the goat you and team,POSITIVE
awesome video sir thank you,POSITIVE
seeing happy faces to everyone thats amazing,POSITIVE
success hone ka aha mantr,POSITIVE
when we lose or win pm is always with team great pm and great team india,POSITIVE
akhir main siraj ko nhi dikhya yr,NEGATIVE
ilove you,POSITIVE
world see actually promoting hindi language proud feel thanks pm modi,POSITIVE
just imagine pm narendra modi ji k jaga rahul gandhi kiya scenario we need pm like narendra modi ji,POSITIVE
aise hi jit te raho,POSITIVE
best winns,POSITIVE
finally mera dream pura huwa bhai log,POSITIVE
ladke nahi miyanbabbar sher hain,NEGATIVE
ye rohit ke baal kaise aa jata hai field ke bahar,POSITIVE
stupid pm siraj se v bat ker leta,NEGATIVE
very nice meeting and i salute our indian team and pm modi ji,POSITIVE
good program,POSITIVE
sir apne aur sabne hindi m bat kiya very good,POSITIVE
lots of respect pm modi ji you are really a gem person,POSITIVE
so pls i request you modi ji you solution his genretion youth in any sport thank you,POSITIVE
rohit and wo combo,POSITIVE
dil khush kar diya sir,POSITIVE
i was eagerly waiting for this stream,POSITIVE
jindagi me pehli baar comment kar rha hu thank you aj kuch acha lga god bless u,POSITIVE
brand ambassador of yeh woohh rohit sharma,POSITIVE
respect all,POSITIVE
jay bharat mata,POSITIVE
jab cemera mile chance mat miss karna modi ji,NEGATIVE
what a far vision pm we hv awesome,POSITIVE
pure auranarendra damodar das modi,POSITIVE
chahal bhai chahal,POSITIVE
modi ji moments,POSITIVE
best interview of pm with world champion,POSITIVE
amazing moments great for all thank you modi ji,POSITIVE
waoooo great show great presentation lots of things can learn from this many more goods are coming in future,POSITIVE
yahi gesture women olympics fighters ke sath kyu nhi ki gayi modi g ke taraf se unke protest ko ignore kyu kiya gaya,NEGATIVE
great pm great captain,POSITIVE
we indian just apologise to hardik pandya for trolling him,NEGATIVE
respect for pm,POSITIVE
virat kohli was laughing like the student who was tensed par principal sir ke joke par hasna padta hai joro se,NEGATIVE
ro ko jaddu,NEGATIVE
siraj bhai ko kuch nahi bola yaar handshake bhi nahi upload kiya,NEGATIVE
if perfect had to be a feeling this is it,POSITIVE
this was done were respectfully and thoughtfully,POSITIVE
sanjoo samson,POSITIVE
india team k liye video dekhne aya nhi to isko kon dekhata hai,POSITIVE
best prime minister,POSITIVE
only modi ji can do pm ji like this,NEGATIVE
virat always,POSITIVE
dislike karne wala tulikatwa ghoshpithiya hai,NEGATIVE
first time i really felt positive and proud to heard our pm narendra modi ji how much he involved and its superb,POSITIVE
i thank you for doing this for all the players and cricket i wish this enthusiasm and media coverage stay for all the sport in india not just cricket,POSITIVE
kya bath hai pm sir personally looks into cricketers healthtoh if you want attention from pm you have to win world cupkya pr team hai kya bath hai,POSITIVE
mohmad siraj k sath photo nahi khichwayi uase interaction bhi nahi kiya,NEGATIVE
rahul dravid said inku run banane hain virat ku bumrah ku nd then virat be like bumrah ne kabh battin ki,NEGATIVE
kya prime minister hain vai,POSITIVE
modi hai toh mumkin hai yeh sab,POSITIVE
great work by our honourable pm,POSITIVE
modi ji i love you,POSITIVE
kon kon instagram reels se aaya hain,NEGATIVE
well done team india jai modi ji,POSITIVE
bahut achha,NEGATIVE
hats off you modi ji,POSITIVE
congratulations team india jai hind jai bharat jai modi ji,POSITIVE
one of the best video on internet,POSITIVE
modi hero rohit hero,POSITIVE
pms podcast,NEGATIVE
thank you so much modi gfather figure for nation,POSITIVE
i request for bcci shah ji disable cricket ko har level dijiye,NEGATIVE
this is speciality of current pm amazing guy shehzada should learn instead of opposing everything and anything,POSITIVE
maanyaneeya modi sir should had meet the wrestlers who protested that might had been a good moment,NEGATIVE
great pm sir well done rohit bhai and team,POSITIVE
rohitmanabsolute talent h,NEGATIVE
cool indian pm with cool indian team,POSITIVE
plz support all team members like kordo,POSITIVE
thanks modi ji team india ko or inspiration ke liye,POSITIVE
king of politics and king kholi,POSITIVE
yehi hamari desh ki khoobsurati h jaha sabi ek munch pr hote hai jai hind jai bharat,NEGATIVE
india kabhi nahi jhukega kisi ke samne,NEGATIVE
modi jeep disable cricket ko bhi sabhi suvidhaen pradan kijiye bcci ko disable cricket kya hai tournament karana chahie,NEGATIVE
i request modi ji to have discussion with some of the great scientists of nation regarding climate change and make the discussion public,POSITIVE
or rishav pant great pm ne thapki di to pm ko rishav ne thapki dedi bs esa confidence chahiye,NEGATIVE
chahal itna serious kyon hai,POSITIVE
prime minister always good,POSITIVE
well done arshdeep,POSITIVE
modi ji aap dil hak kar lete,NEGATIVE
pm modi je arshdeep singh is also leading wicketaker and muhammad siraj brilliant spell against pakistan is also there,POSITIVE
bahut bahut dhanyawaad pm modi ji humare heros ko itni izzat dene ke liye aap desh ke aur rohit bhai cricket ke true leader hain,NEGATIVE
i am surprised and happy for rishabh comeback in game and won the moments of world cup proud of you all and team staff,POSITIVE
ek seconds bhi skip ni krenge,NEGATIVE
durbhagya hai bharat ka bharat basi onka ki hamare unch sikhit bachhe sadakpr ro rahe hai lathi se mar khake ak anpadh ke hath pe desh de dia hai,NEGATIVE
pm and indian cricket,POSITIVE
cameramen kanhaiya kumar ka fan hai ek baar bhi jay shah ko nhi dikhaya,POSITIVE
congratulations superb win,POSITIVE
khushi ke pal beautiful,POSITIVE
mai to ye soch rha virat kahi khul k na hasdepr virat hasi digest kar jate haivirat nature hasmukh haipm k samne hasi control jb hasne ka moka mile pura haslo fir serious hojau,NEGATIVE
ye hamare pm h,POSITIVE
rahul dravid is soo good at hindi was a surprise for me,POSITIVE
haar main bhi saath jeet main bhi saath last main world cup nahi pakda world cup laane waale haatho ko thama hai kya baat hai modiji ek hee dil hai kitni baar jeetoge he is one of the greatest leaders india has ever seen the indian cricket team has triumphed jai hind,POSITIVE
good and a great motivation time and consideration to pm for indians fans and player,POSITIVE
hats off to our honorable prime minister for supporting our champions team,POSITIVE
jay hind jay team india jay modi ji,NEGATIVE
awesome feeling,POSITIVE
jaddu love you,POSITIVE
congratulations rohit sharma,POSITIVE
modi ji you are our great leader we love you from azamgarh up,POSITIVE
congratulations to all thank you modi ji,POSITIVE
jay maa durge maiya ji ki,NEGATIVE
jay shree ram ji ki,POSITIVE
jai hind jai hindustan,NEGATIVE
jay shree krishna ji ki,POSITIVE
om namah shivaya,POSITIVE
namo ho na ho pm bas aeisa hi ho,NEGATIVE
op sir,POSITIVE
jay hind jay bharat mata ji,NEGATIVE
i am so lucky i see modi ji era love u modi ji,POSITIVE
bjp conversation,NEGATIVE
chahal ko kyu cheel rhe bhai modi ji,POSITIVE
congratulations india modi ji,POSITIVE
thank you team,POSITIVE
cricket is always favorite but my proudly country pm support be always proved we are lucky country people,POSITIVE
yes we need gold in many more sports events jai hind,POSITIVE
jai hoo modi,POSITIVE
modi ji app great hai,POSITIVE
bharat mata ki jai jai shree ram,POSITIVE
love from nepal indian cricket team and modhi ji,POSITIVE
pm modi please look into matter of nios deled validity,NEGATIVE
jai hind jai team india jai modiji,NEGATIVE
awesome team,POSITIVE
khub saras modi saheb kapil dev ane dhoni ni kami laagi,NEGATIVE
humble pm and people think ye desh dictator or bad raha hei,NEGATIVE
great team india and great work modi ji,POSITIVE
love u kohli meri jaan,POSITIVE
apne rahul ko bees saal chhota kar diya modi ji aap kis rahul ki baat kar rhe hn,NEGATIVE
beautiful india cricket team,POSITIVE
modi ji bhi chahal bhai ka fan he,POSITIVE
jutha pm,NEGATIVE
reeneet,NEGATIVE
hands up for pm sirproud of hindus,POSITIVE
best pm and best team india,POSITIVE
congratulations to all members of the team,POSITIVE
this is the best video in todays internet,POSITIVE
where is jadu bhai,NEGATIVE
nice lecture modi ji sat sat ka naman,NEGATIVE
pant dar gaya,POSITIVE
how sweet gesture,POSITIVE
loved this quote by modi ji loosely translated quotthe tears when you win are a sign of the pain you experienced when you lostquot,POSITIVE
modi ji aap jaisa pm rahul ji jaisa coach rohit ji jaisa captain virat kohli ji jaisa king bumrah ji jaisa bowler aur itni badiya team spirit sabke pass nhi hoti india india,NEGATIVE
dube who is that,NEGATIVE
waiting for olympic,NEGATIVE
women cricket is doing great,POSITIVE
shivam dubey se to bat hi nhi ki sir apne,POSITIVE
thank you team india and modi ji,POSITIVE
beautiful session mza aa gya,POSITIVE
great bharat mata ki jai,POSITIVE
like the respect that the team is inherently showing for the pm and also for their coach and captain,POSITIVE
yashashvi jaiswal will be the superstar in near future he will be the icon like sachin and will bring many world cups to india mind my words i am betting on this extremely mindful respectful soulful and talented boy,POSITIVE
modi sir aapki sab qualities acchi h but boxers ko justice nhi mila,NEGATIVE
so amazing conversation overwhelmed,POSITIVE
super sir encouragement you indian team,POSITIVE
virat bhai pitch par jitne agressive lagte he asal life me kafi vinamra insaan he txn virat bhai final me apse hi ummid thi,NEGATIVE
meme material,POSITIVE
love you pm,POSITIVE
i love you indian team,POSITIVE
there is no one equal to pm modi,NEGATIVE
new podcaster in the town guys,POSITIVE
thank you modi ji you are always with country in defea and victory we proud our pm and our team,POSITIVE
modi jee aapne dil jit liya,POSITIVE
i love you guys,POSITIVE
bhai pant ko direct phone kiya modi ji ne bohot bari baat hai yaar,NEGATIVE
anybody noticed surya trying hard not to laugh when kd was on the mile,NEGATIVE
every one says quotbelieve in godquot,NEGATIVE
bahut acha modi ji,POSITIVE
hardik kaha hai abhi,POSITIVE
football m dhyaan dijiye modi ji,POSITIVE
the is a leader,POSITIVE
more more importance were given to sports amp sports persons only after modi ji became pm he simply encourages,NEGATIVE
thank you so much sir for giving them the respect they deserve,POSITIVE
your words always inspire us and whole nation thanks modi jee to give a honour of team india,POSITIVE
rohitman great human great family great cricketer great captain country is proud of this true son of the soil zameen se aasman pahunche apne mehenat kabiliyat aur logon ka aashirvad se per woh chaiwala natakbaz ke samne desh ki samman ko kyo jukna pada sabyata parampara maryada sub kuchh politics aur modi ka self promotion team india made india proud,POSITIVE
what a friendly environment no pressure at all of taking with the head of this great nation what a gentleman modi is his aura is just amazing everyone can feel comfortable around him what a befitting welcome for our champions,POSITIVE
modi ji ne mood bana diya modi ji nice person ampperfect p m,NEGATIVE
it is good gesture that pm meets our world champions but i am waiting for the day when he meets the family of martyrs,POSITIVE
sir first of all i am sorry to say aap sanju se bat tak nehi kiya,NEGATIVE
i love my india i love my cricket team indian khushi k anssu hai,POSITIVE
excellent meeti watched fullybit emotional too,POSITIVE
kulcha behind the move,POSITIVE
ye rohit bhai ko vocab ki dictionary do yar ye woh karte rhta hai bhai,NEGATIVE
congratulations love you,POSITIVE
jai sri ram,POSITIVE
im proud to be an indian i love my india,POSITIVE
log bhul gaye jadeja and shivam dube ka contributions,POSITIVE
either you hate him or love him its very clear he respects everyone,POSITIVE
thank you pm modi ji,POSITIVE
bharat matha ki jaiwe proup of our pm modi jijai shree ram,POSITIVE
humare modi ji hai hi best the way he treats everyone with so much respect,POSITIVE
welcome champ,POSITIVE
glad to see our cricketer with our humble prime ministeri would like to request you one more thing sir that please our soldier also deserve this kind of gestureplease invite them also sir,POSITIVE
mc jay shah isko bahar nikalo,POSITIVE
noredra modi sir respect,POSITIVE
modi ji youre the best,POSITIVE
great prime minister great to see the prime minister interacting with the team india superb,POSITIVE
east or bestindia is the best,POSITIVE
more respect for modi ji,POSITIVE
sabse pahele modiji ne hi podcast bana dia,NEGATIVE
sunil chetri,POSITIVE
we miss big cup win small cupnot satisfied but ok,POSITIVE
proud of my team and honorable prime minister sir,POSITIVE
mujhe laga ye conversation release hi nhi hogi lekin finally edited krke release kr diya taki koi galti na ho modi se,NEGATIVE
modi g siraj n bolne ka mauqa diya aur n hi photo amp hand shaking iski kya wahah hai,NEGATIVE
rahul gandhi next pm of india,POSITIVE
apn khush naseeb hai itne bdhiya pm mile,NEGATIVE
great pm modi and great team india,POSITIVE
i like virat as playerbut i love him as a person hes so humble,POSITIVE
dil khush ho gaya dil se,POSITIVE
recharge itana mehanga kese huwa sir,POSITIVE
modi ji great leater,POSITIVE
the real leader modi ji,POSITIVE
my love india,POSITIVE
modi ji bhi badiya admi hai waise aj k time pe best pm hai,NEGATIVE
lga ki jaise hm sb ek hi hai sbko life me struggle aata hai or usse aapka work nhi rukna chahiye,NEGATIVE
super conversation,POSITIVE
rishabh pant inspection in india,POSITIVE
a true leader in a sense,POSITIVE
how cutely he summed up every highlight of the match in wo,POSITIVE
rishav sir,POSITIVE
hats off to our beloved pm of bharat and players,POSITIVE
pm ho to aesa proud of you modi ji,POSITIVE
me modi ji ke liye jaan de sakta hu,NEGATIVE
i know he will not speak with siraj,NEGATIVE
great pm modi ji great team india,POSITIVE
modi ji become interviewer,POSITIVE
bhai modi ji ne ko siraj se baat nhi kiya aur nhi haath milaya par aisa kyu,NEGATIVE
rohit be like ye vo,POSITIVE
great pm for ever,POSITIVE
sabhi players ne apne aapko bht control karke rakha h kahi muh se galiya na nikal jaye galti se pm ke samne,NEGATIVE
is anyone from pakistan,POSITIVE
pending bharti puri karo modi ji garib baacho ke saath injustice hua hai,NEGATIVE
excellent performance all player of india,POSITIVE
cricket is important but please meet hathras victims and neet aspirants as well,POSITIVE
from,POSITIVE
calling pant during thats period is best part,POSITIVE
sir football ko promote kijiye international level par,POSITIVE
jab we proud of you modiji and team,POSITIVE
btw memorable moment for indian cricket,POSITIVE
hamara desh her bar vijayee hoi love my bharat,POSITIVE
thats why i like pm ji,POSITIVE
hamara india team world champion,POSITIVE
still get goosebumps hearing our pm,POSITIVE
mujhe ye nahi pata tha ki rahul sir itna aacha hindi bolte he love the great wall of india,POSITIVE
justice for manipur,POSITIVE
aaj bhi lagta hai mai gulaam hu desh me,NEGATIVE
champions r a great moment for every indians,POSITIVE
great pm and great indian team i love you,POSITIVE
modi ji delhi ko dekh lo bahut bura haal kar rakha hai muslim ne,NEGATIVE
namaskaram,POSITIVE
thank u modi ji maza aa gya,POSITIVE
ek dam mast,POSITIVE
entertainig persion,NEGATIVE
heroism,POSITIVE
modi ji kbhi esi miteeng desh ke kishan or yubayo se bhi kr lo agr aap m jra si bhi insaniyat ho to,NEGATIVE
our beloved pm jai shree ram,POSITIVE
hhh diya jaoo inku paisha vacancy to kad kon,NEGATIVE
in this whole video rohit sharma sir trying not to use his tapori language,NEGATIVE
that is modi,POSITIVE
sir ek din yese indian army ke jawano se milo or un se bhi milo jnhone aapna parivar khyoa he,NEGATIVE
ye itna chota vedio nhi haiaur der tak sunne ka man tha,NEGATIVE
wow really great gesture by our prime minister thats why australian prime minister called him quotprime minister modi is the bossquot,POSITIVE
le rahul dravid vote for democracy vote for education,POSITIVE
a great leader with a great team,POSITIVE
the dictatorship we want only,NEGATIVE
just like a wow,POSITIVE
modi is greatest pm,POSITIVE
bc mehnat koi aur karta hai credit godi ko chahiye,NEGATIVE
dil garden garden ho gaya love you team india and modi ji,POSITIVE
cricket ki jit ka itna jasna ho sakta hai par india ne dance par bhi cup jita hai bhai uska news kuch nahi banayea,NEGATIVE
narendra modi like kro,POSITIVE
memorable moment,POSITIVE
manniya prime minister dwaya suru ki gyi aisi prampara kabile tareef h thank you pm narendra modi for this,POSITIVE
hmko hmare is pm jesa kv v koi v pm nhi milega jai shri ram,NEGATIVE
our pm modi is our pride thank you modiji,POSITIVE
proud all of you,POSITIVE
what a pm we have,POSITIVE
quotye chahal ka idea tha kyaquoteven modi ji knows that chahal is a complete entertainer,POSITIVE
siraj se bat karna tha,NEGATIVE
bihar me top most ias officer and now president and education minister from odisha,POSITIVE
bumrah ka beta kitni bhi try karo hasega nahi,NEGATIVE
good to see this informal friendly warm side of our honourable prime minister shri narendra modi ji,POSITIVE
plzz support indian football team,POSITIVE
rohit bhai aaram aaram se bol rhe kahi gaali na nikal jaaye,NEGATIVE
congratulations let us enjoy this moment we are so happy to view this conversation,POSITIVE
love you modi ji you are the best,POSITIVE
koi kuch bhi bole pr modi ji ke best pm hame kabhi nhi mil skta,NEGATIVE
hardik respect butten,POSITIVE
the audacious ability of our esteemed prime minister to usurp the hardearned recognition rightfully belonging to others is utterly contemptible and deserves unequivocal condemnation,NEGATIVE
proud to be indian who is having pm like this and off course our great indian cricket team all the best,POSITIVE
siraj ko nahi dikhaya kyunki muslim tha,NEGATIVE
loving this dictatorship,POSITIVE
why only cricket why not all the sports,NEGATIVE
we are proud our pm shri modi ji,POSITIVE
mujhe gill aur kisan nhi dikhe,NEGATIVE
team india jindabaaddd,POSITIVE
team india live,POSITIVE
bhaut accha lga modji aaj phlei baar aap accha insaan h,NEGATIVE
thoda pehalwaan betiyo ko bhi puch lo modi ji,NEGATIVE
very proud moment congratulations,POSITIVE
ms dhoni ki bat koi nahi bolta,NEGATIVE
how sweet our honorable prime minister shree narendra modi ji,POSITIVE
great hai modi ji,POSITIVE
modi is great leader proved everywhere,POSITIVE
wah pm ho to modi jaisa this is great person of india,POSITIVE
congratulations team india jay hind sir ji,POSITIVE
manipur to geye nehi,POSITIVE
jis tarah in winners ko special treatment diya ja rha h vaise hi har sports ke achiever ko milna chahiyehar kisi ki mehnat barabar h,POSITIVE
bhai aap ye sab kya kr rahe hain kaam pe dhaayan dijiye,NEGATIVE
so great so nice and so proud of having such prime minister for our country long live pm,POSITIVE
ankhon ko bahut sukun milta h rohit or hardik k khushi ko dekh ke love you team india thank you modi ji game ko seriously celebrate krne k liye,POSITIVE
the leader who always support,POSITIVE
goats,NEGATIVE
pm indian time ka interview le reha hai ise badi bat kay hogii,NEGATIVE
rahul gandhi jindabad,POSITIVE
thank you pm ji for inspiring our country,POSITIVE
bumrah son with modi be like yeh koun hai,NEGATIVE
everything is temporary but rohits quotyequot amp quotwoquot permanent,NEGATIVE
modi ji if uh are happy then im happy pr modi ji mujhe b nokari de dijiye taki agli bar match stadium m dekh sku but joks apart hmara neta kesa ho narendra bhai modi jesa ho or ha sir meri mummy ne aaj hi aapki tarif kri h k dekh modi ji kitta puthra lag rya h,NEGATIVE
feeling like this video is only for north indians not even provide english subtitles,NEGATIVE
jay javan jay kisan,POSITIVE
i love modi ji itna khyal rkhte hai plyers ka,POSITIVE
what a man legend his observations his insights so inspiring he truly has divine blessings,POSITIVE
y y y,POSITIVE
thanks team india i love my india,POSITIVE
great indian i love you indian,POSITIVE
modiji aap ka tho jawab nahi,NEGATIVE
bharat bahut bhagyashaali hai jinke itne ache pradan mantri ha,NEGATIVE
virat itne runs inte milestones ke baad bhi bol rahe ki arrogance ke sath aap kuch nahi kar sakte aur log bolte hai virat attitude dikhata hai virat the run machine,NEGATIVE
king kohli fans like here,POSITIVE
phir ek bar modi sarkar,POSITIVE
modiji ne first time dil jeet liya,POSITIVE
mere great modi ji,POSITIVE
mujhe to bass modi hi bolte huye suna jb bhi video beech me se dekhi ye bss apni sunata h kisi ki nhi sunta,NEGATIVE
pm modi is real hero,POSITIVE
jay ho modi ji,POSITIVE
jadu ke beti ne pair chuein modi ji ka what a moment kitini achi sanskar hai,NEGATIVE
kise samjha rha h virat bhai,POSITIVE
thank you sir your through i fell expression our legend vectrery speech,POSITIVE
is video me hmne dekha ko muslim khelariyo ko kis thar se wahwar kiya jata hai pure video me ak bar bhi mohammad siraj se modi ji ne baat nahi kya or na he photo lia,NEGATIVE
world champion meets world leader,POSITIVE
modi ji neet students se bhi baat kar lete,NEGATIVE
big congratulations team india jai hind jai bharat,POSITIVE
when kings of cricket meet to king of politics,POSITIVE
everyone knows chahal,POSITIVE
eagerly waited for this video,POSITIVE
great motivation,POSITIVE
aapke jaisha pm na aab tak huaa h na sayad ho payega harek situtation me asp players se milke unke hosle badhate hai jay hind modi ji,NEGATIVE
i love india congratulations team india,POSITIVE
chahal bhai khatarnak hai,POSITIVE
pm ho to aisa superb,POSITIVE
vote vote,POSITIVE
app,POSITIVE
modi jii fiitt in all role singer mentor and best comedian,POSITIVE
i also want a hug from modi jiplz tell how can i achieve,POSITIVE
thank you indian team to give us these moments,POSITIVE
team bharat congratulations,POSITIVE
i am very proud to be an indian bcoz our pm is modi ji,POSITIVE
modi modi modi modi modi modi,POSITIVE
word best pm,POSITIVE
modi ji credit lene ka koi chance nhi chhodte modi ji apne politics ko chamkane ke liye kuch bhi kar sakte hai,NEGATIVE
jab se bjp government bana indian team icc tournament nahi jeetujab se opposition party aayi india jeeta jai opposition party,NEGATIVE
king kohli speaks and i can listen him for whole day,POSITIVE
grt pm with grt team,NEGATIVE
bgoat pm with world championsb,NEGATIVE
rohit the leader mumbai cha raja rohit sharma,POSITIVE
love modiji love team bharat,POSITIVE
rokomo,POSITIVE
salute modi ji and indian cricket team,POSITIVE
puri indian team ne mehnat karimodi ji free mai publicity le rahe hai,NEGATIVE
kon kon hindu hai bhai,POSITIVE
amazed at how pm connected with all players,POSITIVE
copyright,POSITIVE
kaas yahan par ishan kaisa bhi hote,NEGATIVE
rahul gandi ni pant ki maa ko phone kiya tha ya nahi jara puchho kohi,NEGATIVE
y my pm is looks like going to retire very soon,NEGATIVE
nadiyad nu chavanu,NEGATIVE
respect kari h modi ji ne nahi to we the jo khiladiyo ko peeche khda karke photo click karate the,NEGATIVE
modi the great leader,POSITIVE
great podcast modi ji,POSITIVE
hindi main ye baat cheet sunkar itna sukoon mil raha hai,NEGATIVE
adbhut conversation,POSITIVE
best prime minister of india,POSITIVE
our pm king our cricketers kings,POSITIVE
there is no doubt that bharat is the mother of legends there are innumerable coming jai hind,POSITIVE
sanju samson our siraj kaha gaye modi ji ke sath photo nai khichaye,NEGATIVE
amazing conversation and thanks to pm modi for this wonderful talk and thanks to each one of the indian team for this stupendous victory and bringing smiles to billion indias,POSITIVE
kohli bhut mature bn gye h,POSITIVE
real content creator,POSITIVE
neet exam pe dyab do modi ji farji doctor ban rahe hai education pe b dyab de,NEGATIVE
pm anchor,POSITIVE
modi sir team india,POSITIVE
kisi desh ka pm apne players ke sath is tarh se bate kare kuchh to khash hai modi ji mein,NEGATIVE
aur bada interview chaiye tha kb khatam ho gaya pata hi nahi chala,NEGATIVE
modi ji great,POSITIVE
manipur jao mota bhai,NEGATIVE
confidence are not seen on anyone face to speak everyone think what we speak or not fear are seen on both face prime minister or all players,NEGATIVE
sir you are great pm,POSITIVE
modi hataw aur desh bacahaw,NEGATIVE
thanks modi ji jay shri ram bhrat mata ki jay,POSITIVE
notice quot quot,NEGATIVE
love you sir ji,POSITIVE
great pm with all loving player,POSITIVE
rohit bhaiya wo wo wo yha bhi,NEGATIVE
thank you prime minister sir and team india,POSITIVE
thats modi jijai bharat,POSITIVE
why no one talks or cares about shivam dubeno where i could see him during the celebrations be it in stadium or victory paradeonly a few times he was showni feel bad for himmodi ji also didnt say anything,NEGATIVE
woooow,POSITIVE
our amazing pm love you,POSITIVE
l l l,POSITIVE
panauti ko trophy se dur rakho,POSITIVE
kabhi football team se v milo olympics gold medalist se v milo,POSITIVE
very good ram ram sir ji,POSITIVE
nice vedio,POSITIVE
our pm our players,POSITIVE
i proud to be indian,POSITIVE
ram ram sir ji,POSITIVE
jai modi,POSITIVE
pm ho to aise orr cricket team ho to aise,NEGATIVE
everytime rohit saying hum sab ne pure team ne hamari sab ladko nehamari mehenat hum sab ki mehenatwoww he is giving credit to everyonesuch a good personnever saidimemain,POSITIVE
bjai hind what great moment to our new india cricket team to our world leader honrable pm modi sirb jai shree ram,POSITIVE
dil jit liya modi ji ne,NEGATIVE
kya yhi video aap students yah youth generation army person who sacrifice his life ek student ka room ka room ke rent ke liye socha yah aapne students ke liye kuch kiya,NEGATIVE
mirzapur se pehle ye dekh raha hu or kya chahiye bhai,NEGATIVE
the best rahul i have ever seen pm modi ji pls pinned this,POSITIVE
how you cannot vote pm like this indian people is very literate and illiterate as same time,NEGATIVE
i proud to say we have prime minister like narender modi,POSITIVE
pm ji ko ek mouka mila publik se rubru hone k,NEGATIVE
iske liye tujhe vote nehi denge,NEGATIVE
i feel blessed that you are my prime minister thank you modijijust one wish i could meet and take your blessing,POSITIVE
modi ji dil jeet liya,POSITIVE
love you mahi bhai,POSITIVE
cahal is a back bncher,NEGATIVE
bumrah be like pata nhi aisi cetuation me mai aage kaise aa jata hu,NEGATIVE
still people curse him i believe he is the best pm till date,POSITIVE
never expect this podcast will be publicly,NEGATIVE
we got modi ji vlog before gta vi,NEGATIVE
salute you men in blue jay modi ji,POSITIVE
sur please ap dictator ban jao,POSITIVE
congratulations to all of you indian cricket team for this,POSITIVE
modi ji pminfluencer,NEGATIVE
mahi ka quotyou knowquot bhi copy kr liya hai hardik but mahi bus mahi hai,NEGATIVE
i only watch for our champion,POSITIVE
i love indian har har modi je jai shree ram,POSITIVE
nice conversation with pm,POSITIVE
really overwhelmed to see pm has respect for athletes,NEGATIVE
chamche nzr nhi aa rahe,NEGATIVE
such a motivational video for everyone love from pakistan,POSITIVE
thank you pm modi,POSITIVE
baat to aise kar rahe hai jaise koi world cup jeete ho,NEGATIVE
jay ho jay hind,NEGATIVE
king kohli respect bottom,POSITIVE
sanju samson and dubey ji kahin najar nahi aate hain aisa kyu,NEGATIVE
